"","ID1","ID2","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","Longitude","Latitude","pc1","pc2"
"1","US","N1",116,93,54,2868,210,38,172,88,151,155,83,-124.447772,42.690011,1.1752223065539,-2.66118664868337
"2","US","N2",106,77,50,2864,189,36,153,76,140,144,72,-124.067267,44.623434,0.215246696857491,-2.57392385708627
"3","US","N3",104,91,50,3333,205,24,181,68,144,148,64,-124.108563,44.26739,0.482018919567206,-1.72516602112833
"4","US","N4",109,88,54,2696,195,34,161,82,142,145,77,-124.392128,43.235261,0.627972693580012,-2.71032361445453
"5","US","N5",111,89,51,3225,207,33,174,76,150,154,72,-124.101597,44.309916,0.807637865723063,-2.13699849208926
"6","US","N6",106,77,50,2841,189,35,154,76,140,144,72,-124.07399,44.677008,0.211434270081258,-2.56378014960603
"7","US","N7",112,93,51,3272,212,32,180,76,151,156,73,-124.122314,44.143124,0.949984185297224,-2.03101785464974
"8","US","N8",160,143,43,6499,349,20,329,80,244,244,80,-121.598,39.60485,5.00642267710343,1.33974834577285
"9","US","N9",159,141,43,6468,346,20,326,80,242,242,80,-121.567,39.55229,4.90598373530645,1.28180336341244
"10","US","N10",160,143,44,6438,346,21,325,81,243,243,81,-121.6728833,39.7462,5.00035212095931,1.21393954664354
"11","US","N11",148,133,42,6289,330,19,311,79,231,231,74,-121.57175,39.813717,4.2401851856439,1.12471351442304
"12","US","N12",84,162,47,6256,285,-57,342,9,166,166,9,-121.447433,40.2476,1.40233691156666,3.63252252927637
"13","US","N13",79,150,46,6144,273,-53,326,8,160,160,8,-121.4993,40.1028,0.947409512810041,3.36574731084245
"14","US","N14",161,143,43,6491,349,20,329,81,244,244,81,-121.6,39.6153,5.02943776097001,1.31095279833604
"15","US","N15",164,145,43,6559,355,21,334,82,248,248,82,-121.58286,39.53903,5.23513541214612,1.37106756924696
"16","US","N16",12,82,27,7658,174,-125,299,65,53,114,-80,-149.4112167,60.95245,-3.94338411154521,4.5774166482973
"17","US","N17",27,79,30,6549,164,-94,258,77,58,113,-53,-151.7475,59.741133,-3.52111507158525,2.91522525972398
"18","US","N18",28,76,28,6876,168,-98,266,27,70,117,-57,-146.32465,61.13825,-3.65402585596614,3.85547325450449
"19","US","N19",71,59,31,4277,171,-15,186,52,105,129,21,-132.526217,53.698133,-2.09640699134646,0.00869967267690995
"20","US","N20",86,131,37,7620,294,-57,351,-6,181,185,-10,-117.962933,47.287683,1.04912463882213,4.73147972142118
"21","US","N21",119,100,60,2325,204,38,166,94,145,149,90,-123.69395,39.0083,1.35362971449549,-3.22512535136036
"22","US","N22",125,109,51,3578,247,37,210,84,169,171,80,-123.902367,39.860529,2.02962840674367,-1.7150291561734
"23","US","N23",107,163,49,5982,306,-25,331,40,186,186,36,-123.388162,41.339663,2.69984415871189,2.43347154666367
"24","US","N24",96,93,51,3238,196,17,179,61,135,139,58,-123.9771333,45.3382533,0.0959405263221115,-1.59224837356689
"25","US","N25",114,119,44,5094,276,10,266,56,180,182,52,-123.177453,43.989674,1.97652951703144,0.606979007086325
"26","US","N26",114,86,54,2587,197,40,157,89,145,149,84,-124.56,42.83772,0.838254086411203,-3.01508999733514
"27","US","N27",107,105,43,4969,251,8,243,50,172,172,46,-123.147,47.3854,1.21362230266067,0.4076313728201
"28","US","N28",116,145,52,4541,280,6,274,65,175,176,62,-123.631,39.73687,2.54513074831645,0.224275390618629
"29","US","N29",102,85,49,3258,195,22,173,67,141,145,62,-124.072,46.3053,0.1790619339491,-1.79820170437746
"30","US","N30",37,51,28,4692,135,-47,182,50,-7,101,-17,-162.32816,55.05603,-4.45802086407387,0.787478242217642
"31","US","N31",47,45,24,4288,144,-37,181,57,50,106,-3,-166.51068,53.90448,-3.86400037628028,0.419771974924957
"32","US","N32",41,60,30,5066,155,-43,198,46,109,110,-16,-152.59483,57.79456,-3.13880408190872,1.19961027368771
"33","UK","I1",101,77,36,4712,218,8,210,52,148,163,43,-1.5084,51.09699,-0.00586831245338308,-0.0175819661270299
"34","UK","I2",81,63,34,4477,182,-3,185,58,126,140,26,-3.54927,53.00598,-1.36686726500358,-0.206781386349293
"35","UK","I3",81,71,36,4498,188,-6,194,34,101,141,26,-3.96856,56.19654,-1.4140766199502,0.187403649247761
"36","UK","I4",82,70,38,3965,180,0,180,63,51,134,34,-2.06385,57.23748,-1.6890673235558,-0.763689389819427
"37","UK","I5",64,71,35,4544,172,-27,199,18,81,125,8,-3.36777,57.25499,-2.3647238784061,0.841378436674077
"38","UK","I6",68,46,34,3171,141,8,133,39,95,109,32,-1.30036,59.97777,-2.74188181060129,-1.30392598098427
"39","UK","I7",84,72,37,4452,190,-4,194,59,103,143,28,-3.74477,56.1473,-1.16727253788322,-0.199521435816664
"40","UK","I8",99,78,36,4856,218,3,215,47,148,163,38,-0.77971674,50.904513,-0.0803702388513658,0.252550346293758
"41","UK","I9",95,56,33,4042,186,20,166,55,132,148,46,-5.293,50.162,-0.969639278306724,-0.959339464663201
"42","UK","I10",80,67,35,4391,183,-7,190,84,96,140,26,-4.2652576,57.682614,-1.41160504373217,-0.495115735036747
"43","UK","I11",87,61,37,3597,175,14,161,69,97,135,45,-4.767,58.575,-1.36669524436658,-1.3994293775789
"44","UK","I12",105,64,31,4904,213,11,202,77,68,168,44,1.297,52.768,-0.673715993872442,-0.379134336792197
"45","UK","I13",80,62,35,4078,173,0,173,60,96,135,32,-5.06625,57.82897,-1.6687029412321,-0.652690382489915
"46","UK","I14",84,69,36,4317,186,-1,187,39,103,141,31,-4.39088,56.0653,-1.34799819315223,-0.125877568810899
"47","UK","I15",83,68,36,4351,182,-2,184,85,104,140,28,-4.6257,55.4615,-1.26146286210486,-0.67314809664005
"48","UK","I16",86,71,38,4291,187,1,186,63,104,141,32,-3.60888,55.0635,-1.11931460411103,-0.518498710625456
"49","UK","I17",85,63,34,4451,185,0,185,62,104,143,30,-3.466,52.98935,-1.35428423232968,-0.356185570920795
"50","UK","I18",85,73,37,4363,192,-3,195,118,52,142,30,-2.55667,55.99497,-1.24037189400193,-1.01465337236506
"51","UK","I19",88,62,33,4496,193,7,186,43,133,148,34,-3.64177,51.133,-1.05227593210149,-0.147344013189309
"52","UK","I20",85,73,38,4283,190,-2,192,119,51,141,30,-2.23938,55.6548,-1.24559472890809,-1.12833176609217
