Population,x_min,draw,x_max,shape1,shape2,stretch,nu,maxima,breadth,area,special,idx,max_RGR,opt_breadth_low,opt_breadth_high,opt_breadth,x_minBT,x_maxBT,stretchBT,maximaBT,breadthBT,B50_low,B50_high,B50,Range,pop,lat,long,MAT,tempseason,maxwarmest,meanwarmest,mincoldest
I1,-22.99312716,4000.5,18.35974444,2.848772981,2.721718414,0.996148562,11.58991403,3.344642393,41.3528716,41.14795674,0.996148562,4000.5,0.894792173,-9.017182365,13.06627211,22.08345447,5.316225355,46.66909696,0.464089103,31.65399491,41.3528716,19.29217015,41.37562462,22.08345447,I,I3,51.09699,-1.5084,10.1,47.12,21.8,16.3,0.8
I10,-22.44105693,4000.5,19.0555624,2.806484356,3.093802318,0.89270627,9.859263533,2.3856559,41.49661933,37.00774512,0.89270627,12000.5,0.812213377,-9.546595186,12.37073313,21.91732832,5.868295593,47.36491492,0.415897054,30.69500842,41.49661933,18.76275733,40.68008565,21.91732832,I,I11,57.682614,-4.2652576,8,43.91,18.3,14,-0.7
I11,-22.48829566,4000.5,18.63221614,3.14031336,3.609591794,1.26142142,7.515135484,2.428642656,41.1205118,51.82270334,1.26142142,20000.5,1.244775315,-8.372919689,11.45065812,19.8235778,5.821056855,46.94156866,0.587675331,30.73799517,41.1205118,19.93643283,39.76001063,19.8235778,I,I12,58.575,-4.767,8.7,35.97,17.5,13.5,1.4
I12,-22.76126984,4000.5,18.23755884,2.806760414,2.973290863,1.1685469,14.3847316,2.192079516,40.99882868,47.86158123,1.1685469,28000.5,1.054876225,-9.748846588,12.01904192,21.76788851,5.54808268,46.54691136,0.544406631,30.50143203,40.99882868,18.56050593,40.32839444,21.76788851,I,I4,52.768,1.297,10.5,49.04,21.3,16.8,1.1
I16,-22.52606068,4000.5,18.51646438,3.045907453,3.1165806,1.227227894,12.75480058,3.271631091,41.04252505,50.30666904,1.227227894,36000.5,1.172086709,-8.197588849,12.50258454,20.70017339,5.783291843,46.82581689,0.571745134,31.58098361,41.04252505,20.11176367,40.81193706,20.70017339,I,I6,55.0635,-3.60888,8.6,42.91,18.7,14.1,0.1
I2,-22.87634865,4000.5,18.46602155,2.64989603,3.140160348,0.90772587,8.741333625,0.69971798,41.3423702,37.48421934,0.90772587,44000.5,0.805014354,-11.30104443,11.13681223,22.43785665,5.433003868,46.77537407,0.422894437,29.0090705,41.3423702,17.00830809,39.44616474,22.43785665,I,I5,53.00598,-3.54927,8.1,44.77,18.2,14,-0.3
I3,-23.05645251,4000.5,18.18529238,3.153364614,3.013575164,1.112901025,9.084573458,3.716732219,41.24174489,45.85024352,1.112901025,52000.5,1.06943085,-7.732369963,12.67735962,20.40972958,5.252900005,46.49464489,0.518482141,32.02608474,41.24174489,20.57698256,40.98671214,20.40972958,I,I8,56.19654,-3.96856,8.1,44.98,18.8,14.1,-0.6
I4,-22.6598407,4000.5,18.840935,3.199421749,2.602929036,1.396808912,8.075026314,5.945322378,41.5007757,57.9091837,1.396808912,60000.5,1.340652959,-5.95189911,14.64912085,20.60101996,5.649511818,47.15028752,0.650750119,34.2546749,41.5007757,22.35745341,42.95847337,20.60101996,I,I9,57.23748,-2.06385,8.2,39.65,18,13.4,0
I5,-22.63469545,4000.5,19.02759864,2.867996639,3.146939931,1.307897872,9.551614691,2.472427797,41.66229409,54.43657392,1.307897872,68000.5,1.205271007,-9.332762007,12.30215957,21.63492158,5.674657068,47.33695116,0.609327939,30.78178032,41.66229409,18.97659051,40.61151209,21.63492158,I,I10,57.25499,-3.36777,6.4,45.44,17.2,12.5,-2.7
I6,-22.38607056,4000.5,19.25073135,2.782103876,2.895274406,1.242410067,8.696000229,3.052992054,41.63680191,51.67094428,1.242410067,76000.5,1.113333151,-9.212445792,13.10901871,22.3214645,5.923281955,47.56008387,0.578818257,31.36234457,41.63680191,19.09690673,41.41837123,22.3214645,I,I13,59.97777,-1.30036,6.8,31.71,14.1,10.9,0.8
I7,-22.60873619,4000.5,18.42381498,3.067489843,3.074045398,0.95133209,9.051244576,3.441609682,41.03255116,38.99125094,0.95133209,84000.5,0.904936833,-7.994414423,12.55777143,20.55218585,5.70061633,46.73316749,0.443209852,31.7509622,41.03255116,20.3149381,40.86712394,20.55218585,I,I7,56.1473,-3.74477,8.4,44.52,19,14.3,-0.4
I8,-23.03313403,4000.5,19.07109419,2.680745323,2.54796287,0.67304774,10.58949028,3.438864287,42.10422821,28.30957828,0.67304774,92000.5,0.580137841,-9.750331732,13.89288507,23.64321681,5.276218493,47.38044671,0.313561786,31.74821681,42.10422821,18.55902079,42.20223759,23.64321681,I,I2,50.904513,-0.77971674,9.9,48.56,21.8,16.3,0.3
I9,-23.08283219,4000.5,18.21978648,2.761204111,2.591596376,1.05803986,8.294939405,3.213904494,41.30261866,43.64693788,1.05803986,100000.5,0.927068922,-9.523058718,13.19874494,22.72180366,5.22652033,46.52913899,0.492923233,31.52325701,41.30261866,18.7862938,41.50809745,22.72180366,I,I1,50.162,-5.293,9.5,40.42,18.6,14.8,2
N10,-22.27790465,4000.5,19.54887921,2.815460304,2.722418844,1.478284073,10.87511926,4.107648398,41.82678386,61.75571079,1.478284073,108000.5,1.322841536,-8.418097399,14.06240743,22.48050483,6.031447868,47.85823173,0.688708046,32.41700092,41.82678386,19.89125512,42.37175995,22.48050483,N,N4,39.7462,-121.6728833,16,64.38,34.6,24.3,2.1
N12,-22.6025729,4000.5,18.46923873,2.476927591,3.193442623,1.004633524,8.828656406,-0.534688784,41.07181163,41.20294065,1.004633524,116000.5,0.872145441,-12.52730485,10.38356366,22.91086851,5.706779618,46.77859124,0.468042106,27.77466373,41.07181163,15.78204767,38.69291618,22.91086851,N,N6,40.2476,-121.447433,8.4,62.56,28.5,16.6,-5.7
N16,-22.78206751,4000.5,18.40899615,2.962583994,3.410940049,0.892473469,8.292816284,1.734010754,41.19106366,36.71978089,0.892473469,124000.5,0.845132979,-9.516805842,11.24095263,20.75775847,5.527285005,46.71834867,0.415788596,30.04336327,41.19106366,18.79254668,39.55030515,20.75775847,N,N17,60.95245,-149.4112167,1.2,76.58,17.4,11.4,-12.5
N18,-22.72669686,4000.5,18.33791544,2.873450625,3.088429525,1.262931328,10.98916513,2.262034652,41.0646123,51.7948864,1.262931328,132000.5,1.162028878,-9.466108625,11.9366908,21.40279943,5.582655655,46.64726796,0.588378772,30.57138717,41.0646123,18.84324389,40.24604332,21.40279943,N,N18,61.13825,-146.32465,2.8,68.76,16.8,11.7,-9.8
N19,-22.54467476,4000.5,18.5630365,3.068435675,3.719723259,1.369654975,9.773681744,1.710077974,41.10771126,56.24086645,1.369654975,140000.5,1.342127734,-9.060256019,10.89031224,19.95056826,5.764677755,46.87238902,0.63809955,30.01943049,41.10771126,19.2490965,39.19966476,19.95056826,N,N13,53.698133,-132.526217,7.1,42.77,17.1,12.9,-1.5
N20,-22.77526286,4000.5,18.66738034,2.667913356,2.973196219,0.872353771,13.53681065,1.578370445,41.4426432,36.11323917,0.872353771,148000.5,0.768171043,-10.67759424,11.95582474,22.63341898,5.534089655,46.97673286,0.406415162,29.88772296,41.4426432,17.63175828,40.26517726,22.63341898,N,N11,47.287683,-117.962933,8.6,76.2,29.4,18.5,-5.7
N21,-22.40836258,4000.5,18.20707945,2.770310399,3.373843128,1.06465276,9.392659235,0.83290968,40.61544203,43.17512635,1.06465276,156000.5,0.979547055,-10.52405928,10.69307286,21.21713214,5.900989943,46.51643197,0.496004074,29.1422622,40.61544203,17.78529324,39.00242537,21.21713214,N,N1,39.0083,-123.69395,11.9,23.25,20.4,14.9,3.8
N22,-22.66868505,4000.5,18.2848595,3.056826704,3.717589013,0.858067103,10.92832696,1.459100065,40.95354455,35.09487247,0.858067103,164000.5,0.838745641,-9.285191562,10.62605178,19.91124335,5.640667468,46.59421202,0.39975924,29.76845258,40.95354455,19.02416096,38.9354043,19.91124335,N,N5,39.860529,-123.902367,12.5,35.78,24.7,17.1,3.7
N23,-22.94423205,4000.5,18.15773225,3.039371334,2.695095,0.758721109,8.792794318,4.284124586,41.1019643,31.14641352,0.758721109,172000.5,0.706439159,-7.739474277,13.42944043,21.1689147,5.365120468,46.46708477,0.353475588,32.5934771,41.1019643,20.56987824,41.73879294,21.1689147,N,N7,41.339663,-123.388162,10.7,59.82,30.6,18.6,-2.5
N24,-22.9616769,4000.5,18.21946774,2.896567176,3.001187466,0.716987424,11.54122233,2.489677289,41.18114464,29.48961237,0.716987424,180000.5,0.657984372,-9.362939801,12.1348864,21.4978262,5.347675618,46.52882026,0.334032556,30.79902981,41.18114464,18.94641272,40.44423892,21.4978262,N,N9,45.3382533,-123.9771333,9.6,32.38,19.6,13.9,1.7
N26,-22.56918346,4000.5,18.6797716,3.001549511,3.47993506,1.083172577,11.61514498,2.077431501,41.24895506,44.62954667,1.083172577,188000.5,1.037468717,-9.046039889,11.43834172,20.48438161,5.740169055,46.98912412,0.504632149,30.38678402,41.24895506,19.26331263,39.74769424,20.48438161,N,N8,42.83772,-124.56,11.4,25.87,19.7,14.9,4
N27,-22.64746128,4000.5,17.9537937,2.940414121,2.830178001,1.142545989,10.72169584,3.329807944,40.60125498,46.33208308,1.142545989,196000.5,1.051888635,-8.52212722,12.64351875,21.16564597,5.661891243,46.26314622,0.532293238,31.63916046,40.60125498,19.7872253,40.95287127,21.16564597,N,N12,47.3854,-123.147,10.7,49.69,25.1,17.2,0.8
N29,-22.93776518,4000.5,17.97082988,3.055222658,3.10774362,1.225753434,9.257900339,2.864867371,40.90859505,50.07711054,1.225753434,204000.5,1.163428066,-8.528534631,12.00268509,20.53121972,5.371587343,46.28018239,0.571058208,31.17421989,40.90859505,19.78081789,40.31203761,20.53121972,N,N10,46.3053,-124.072,10.2,32.58,19.5,14.5,2.2
N30,-22.87676715,4000.5,18.8763722,2.783942399,2.966240558,0.811951515,8.533289954,2.337803677,41.75313935,33.87077846,0.811951515,212000.5,0.728108855,-9.893846899,12.48971132,22.38355822,5.432585368,47.18572472,0.378274752,30.6471562,41.75313935,18.41550562,40.79906384,22.38355822,N,N15,55.05603,-162.32816,3.7,46.92,13.5,10.1,-4.7
N31,-22.63920754,4000.5,19.14683718,2.576419093,2.755554123,1.12278602,8.89133296,2.122966467,41.78604471,46.86391928,1.12278602,220000.5,0.961195943,-10.73515346,12.89991269,23.63506616,5.67014498,47.45618969,0.523087396,30.43231898,41.78604471,17.57419905,41.20926521,23.63506616,N,N14,53.90448,-166.51068,4.7,42.88,14.4,10.6,-3.7
N32,-22.76523141,4000.5,19.08253058,2.699231115,3.1522367,1.054638402,9.355117084,1.385196391,41.84776199,44.08999729,1.054638402,228000.5,0.943256841,-10.67646252,11.77569389,22.45215641,5.544121105,47.39188309,0.49133855,29.69454891,41.84776199,17.63289,40.08504641,22.45215641,N,N16,57.79456,-152.59483,4.1,50.66,15.5,11,-4.3
N8,-22.74759166,4000.5,18.72245313,3.318460296,2.780636459,0.873821254,8.658995296,5.648693605,41.47004479,36.19092247,0.873821254,236000.5,0.863159931,-5.876435446,14.208318,20.08475345,5.561760855,47.03180564,0.407098838,33.95804612,41.47004479,22.43291707,42.51767052,20.08475345,N,N3,39.60485,-121.598,16,64.99,34.9,24.4,2
N9,-22.72781619,4000.5,19.46126561,2.586031005,2.511498925,0.76951671,11.2389739,3.379105043,42.1890818,32.4350919,0.76951671,244000.5,0.649789056,-10.04556282,14.15472747,24.20029029,5.58153633,47.77061813,0.35850508,31.68845756,42.1890818,18.26378969,42.46407999,24.20029029,N,N2,39.55229,-121.567,15.9,64.68,34.6,24.2,2
