ID1,ID2,ID3,bio_1,bio_2,bio_3,bio_4,bio_5,bio_6,bio_7,bio_8,bio_9,bio_10,bio_11,bio_12,bio_13,bio_14,bio_15,bio_16,bio_17,bio_18,bio_19,Longitude,Latitude
US,N8,N3,160,143,43,6499,349,20,329,80,244,244,80,881,178,1,83,452,17,17,452,-121.598,39.60485
US,N9,N2,159,141,43,6468,346,20,326,80,242,242,80,922,186,1,83,474,16,16,474,-121.567,39.55229
US,N10,N4,160,143,44,6438,346,21,325,81,243,243,81,899,178,2,82,456,19,19,456,-121.6728833,39.7462
US,N12,N6,84,162,47,6256,285,-57,342,9,166,166,9,1006,180,5,73,486,38,38,486,-121.447433,40.2476
US,N16,N17,12,82,27,7658,174,-125,299,65,53,114,-80,784,107,32,34,288,115,178,210,-149.4112167,60.95245
US,N18,N18,28,76,28,6876,168,-98,266,27,70,117,-57,1524,200,72,33,541,230,301,422,-146.32465,61.13825
US,N19,N13,71,59,31,4277,171,-15,186,52,105,129,21,1803,254,71,39,701,241,317,569,-132.526217,53.698133
US,N20,N11,86,131,37,7620,294,-57,351,-6,181,185,-10,355,50,13,38,139,45,52,125,-117.962933,47.287683
US,N21,N1,119,100,60,2325,204,38,166,94,145,149,90,1020,190,3,82,528,19,31,510,-123.69395,39.0083
US,N22,N5,125,109,51,3578,247,37,210,84,169,171,80,1476,275,3,83,763,25,42,758,-123.902367,39.860529
US,N23,N7,107,163,49,5982,306,-25,331,40,186,186,36,1147,210,6,77,593,42,42,554,-123.388162,41.339663
US,N24,N9,96,93,51,3238,196,17,179,61,135,139,58,2475,391,39,61,1140,173,181,1061,-123.9771333,45.3382533
US,N26,N8,114,86,54,2587,197,40,157,89,145,149,84,1888,311,14,68,894,93,98,837,-124.56,42.83772
US,N27,N12,107,105,43,4969,251,8,243,50,172,172,46,1594,267,26,65,761,104,104,709,-123.147,47.3854
US,N29,N10,102,85,49,3258,195,22,173,67,141,145,62,2055,318,39,58,918,159,175,868,-124.072,46.3053
US,N30,N15,37,51,28,4692,135,-47,182,50,-7,101,-17,928,111,49,28,327,164,267,183,-162.32816,55.05603
US,N31,N14,47,45,24,4288,144,-37,181,57,50,106,-3,922,110,50,28,323,165,263,189,-166.51068,53.90448
US,N32,N16,41,60,30,5066,155,-43,198,46,109,110,-16,1613,168,91,19,477,337,378,461,-152.59483,57.79456
UK,I1,I3,101,77,36,4712,218,8,210,52,148,163,43,740,81,45,20,236,151,155,209,-1.5084,51.09699
UK,I2,I5,81,63,34,4477,182,-3,185,58,126,140,26,1075,122,68,21,348,208,227,303,-3.54927,53.00598
UK,I3,I8,81,71,36,4498,188,-6,194,34,101,141,26,1085,118,58,23,345,192,227,314,-3.96856,56.19654
UK,I4,I9,82,70,38,3965,180,0,180,63,51,134,34,787,80,53,15,233,163,191,203,-2.06385,57.23748
UK,I5,I10,64,71,35,4544,172,-27,199,18,81,125,8,863,88,51,17,258,171,207,235,-3.36777,57.25499
UK,I6,I13,68,46,34,3171,141,8,133,39,95,109,32,1179,141,58,30,405,184,205,331,-1.30036,59.97777
UK,I7,I7,84,72,37,4452,190,-4,194,59,103,143,28,905,95,49,20,276,168,204,247,-3.74477,56.1473
UK,I8,I2,99,78,36,4856,218,3,215,47,148,163,38,854,96,52,21,279,164,170,247,-0.77971674,50.904513
UK,I9,I1,95,56,33,4042,186,20,166,55,132,148,46,1112,143,58,31,398,183,191,373,-5.293,50.162
UK,I10,I11,80,67,35,4391,183,-7,190,84,96,140,26,771,80,41,19,233,147,192,196,-4.2652576,57.682614
UK,I11,I12,87,61,37,3597,175,14,161,69,97,135,45,962,106,54,24,313,166,202,272,-4.767,58.575
UK,I12,I4,105,64,31,4904,213,11,202,77,68,168,44,629,66,40,14,181,131,163,153,1.297,52.768
UK,I16,I6,86,71,38,4291,187,1,186,63,104,141,32,1035,113,55,23,328,183,227,287,-3.60888,55.0635
