"","Population","maximaBT_lci","maximaBT_uci","B50_lci","B50_uci","B50_low_lci","B50_low_uci","B50_high_lci","B50_high_uci","breadthBT_lci","breadthBT_uci","x_minBT_lci","x_minBT_uci","x_maxBT_lci","x_maxBT_uci","max_RGR_lci","max_RGR_uci","area_lci","area_uci","Range"
"1","I1",29.7218229295457,33.4969396559985,19.0988536363636,24.9976221717171,16.6987064573795,21.9543804725311,39.938820422026,42.6919027452583,38.7536625,44.2212075,3.14583251798561,7.37058751798561,45.3934275179856,48.4912900179856,0.703012755051642,1.13697074244355,33.3867705714,49.799723991175,"I"
"2","I10",28.4993850932479,32.8342904633512,18.5575524242424,25.4443967676767,15.5847221897028,21.8146889573795,39.0243853210159,42.3745180230361,38.7656775,44.433135,3.59652501798561,8.03988751798561,45.7982425179856,49.1207175179856,0.589023826022605,1.10985404003215,28.472030819355,47.075478172875,"I"
"3","I11",28.5054732459989,32.8601425464882,16.7482703030303,23.1388192424243,16.7043140331371,22.9886556745513,38.2820536796018,41.3911331745512,38.3105775,43.93061,3.55930501798561,7.94768501798561,45.2256450179856,48.6721600179856,0.869733435503308,1.73391326636988,38.573396911995,68.0117289922,"I"
"4","I12",28.9255578858479,32.041778417799,19.2846039393939,24.4776004545455,16.3090736038442,20.7356596644502,39.1379031998038,41.6598316088947,38.2948375,43.844805,3.37153001798561,7.60605251798561,45.2614450179856,48.2412675179856,0.840412398504136,1.33463052565142,39.89439267774,57.260442138525,"I"
"5","I16",28.9791902164724,34.0876842497321,16.9420940151515,24.8931227525252,16.1866914573796,23.6400010280867,38.8978305482886,42.814366381622,38.2008825,43.949005,3.57125751798561,8.01255751798561,45.1667300179856,48.6711525179856,0.692120627728801,1.94417854088981,32.0529379103625,75.6308259402,"I"
"6","I2",26.4266084706532,31.7593421147784,18.7096848989899,25.8779577777777,13.8693543361675,20.794743401824,37.5857587806119,41.5115416846523,38.482685,44.2867225,3.24380251798561,7.51185751798561,44.9417075179856,48.7040750179856,0.589925155374826,1.09026387120236,27.84767894224,48.641555314275,"I"
"7","I3",29.9986164991801,33.9246947089059,16.9775136111111,23.6033321969697,17.5138284270765,23.7579604725311,39.6131947654604,42.3814512553594,38.5859075,44.032335,3.13462251798561,7.33325751798561,45.1131500179856,48.2860050179856,0.829877042339424,1.37448449554026,36.11562007458,56.649452322,"I"
"8","I4",32.7148807456666,35.7861564324963,17.9093588383838,23.5703094444445,19.9065509270765,24.6197461796018,41.6917105987937,44.2815361543493,38.904185,44.388045,3.44224251798561,7.74659751798561,45.8216500179856,48.8932650179856,0.97963865456248,1.81537282034143,44.473081585575,73.490480227275,"I"
"9","I5",28.6197795911556,32.9330355295253,18.6816643939394,24.8380025757575,16.0400880482886,22.0285264826321,39.1245448664704,42.2040366088947,38.9471475,44.4761125,3.48150001798561,7.74025251798561,45.8253550179856,49.0319525179856,0.880483815552019,1.6092535614297,41.497884979525,69.2869583274,"I"
"10","I6",29.3208178262523,33.3362659289348,19.5356021969697,25.3275303030304,16.2516163563694,21.8431064573795,40.0571068361674,42.7767190836422,38.8344825,44.5076025,3.67334751798561,8.08700001798561,46.0646375179856,49.2822075179856,0.830189481617611,1.47339015193009,40.30353542028,64.60947290355,"I"
"11","I7",29.9580285656237,33.535853923739,17.8172139646465,23.5019031565656,17.7663270381877,22.7227079220261,39.4090555482886,42.3538777452584,38.28389,43.9361625,3.46295251798561,7.83238751798561,45.2089150179856,48.4772525179856,0.675798250854792,1.21218221546573,30.398597995875,49.082786758525,"I"
"12","I8",29.0554539085909,34.4150642287665,19.0923954545454,27.2943034848485,14.9602170634402,23.0054467856624,40.3731951695007,43.7325653462685,39.4737825,44.915715,3.15543751798561,7.36645501798561,45.9527425179856,49.1120875179856,0.43856698593654,0.781810445595838,21.66410038968,35.70853664214,"I"
"13","I9",29.2135297146672,33.8224391185506,18.4877357575758,26.2343565909091,15.4926688816219,22.7825241846523,39.9296479472785,42.9777806998038,38.7345825,44.225755,3.06590751798561,7.26159001798561,45.1837425179856,48.4482150179856,0.671073557009708,1.2620675872844,31.879251447885,57.3529651065,"I"
"14","N10",30.3861944770611,34.3637302845011,19.6076028787878,25.5082886363636,17.0082873159654,22.7607129977836,41.1724440583896,43.5955997907128,39.1418,44.71008,3.68787251798561,8.17748251798561,46.3633450179856,49.6031025179856,0.986262132727066,1.78468812175268,48.70133658,77.56647110245,"N"
"15","N12",25.3874494850385,30.0723238744777,19.8436850757576,26.1789532575757,12.9693501442482,18.5973518361674,36.9374019371775,40.7047436543492,38.24506,44.1035425,3.51432251798561,7.72867001798561,44.8973100179856,48.7358900179856,0.60983707303983,1.23886005333934,30.3381823165,54.8305285811,"N"
"16","N16",27.2819619578391,32.8022524913476,16.8328804040404,24.4604641666666,15.1475081240462,22.8919228967735,37.7836290836422,41.5064877957634,38.267075,44.06443,3.32330251798561,7.67562251798561,44.8781500179856,48.5974450179856,0.619080357750642,1.14529595354903,27.08660413191,48.09386686275,"N"
"17","N18",28.3381189416479,32.7179663768862,18.1951437121212,24.8654861363636,15.6873106240462,21.8297779472785,38.5970977452583,42.0214062048543,38.2301925,44.055915,3.33648251798561,7.71797501798561,44.9941525179856,48.5059350179856,0.811202693583393,1.63897283918304,37.61360440581,68.94490750875,"N"
"18","N19",27.4499668118852,32.7201873533455,16.6375192929293,23.3408641161616,15.8378142856624,22.9134850937432,37.5271675937432,41.2194558008139,38.2361625,44.0161925,3.53876251798561,7.88637501798561,45.0144475179856,48.7018900179856,0.943222665611152,1.88682638848983,41.0719234185,75.0435226344,"N"
"19","N20",28.0394108791152,31.7437159024464,19.8111486616162,25.460681489899,15.2004482250563,20.1585622149553,38.9152073412179,41.7607723159654,38.732965,44.360565,3.34138251798561,7.58750751798561,45.5000425179856,48.7754575179856,0.615266197976507,0.962807251989378,30.1262357479025,42.978474653125,"N"
"20","N21",26.9415155014875,31.1512148966223,18.1552691414141,24.6326751010101,14.7162963311169,20.5799620381877,37.5147714068745,40.7267991593998,37.76111,43.6022525,3.65603001798561,8.01276501798561,44.6993925179856,48.4566900179856,0.679153649300956,1.41105208850355,32.105393628935,57.1760568843,"N"
"21","N22",27.5832946119746,31.8269441388299,16.7947869696969,23.1173208333333,16.0199141846522,22.131024841218,37.5324424169755,40.5370294876826,38.08322,43.86577,3.44888751798561,7.72226501798561,44.6712875179856,48.5251125179856,0.636621360340618,1.09802956703585,27.8574837797025,43.546842804325,"N"
"22","N23",30.3126861291269,34.7049501037154,17.1664022727273,25.1458452272728,16.8384302705109,24.1961737301068,40.1701931240462,43.2408868866725,38.3463325,44.0398625,3.19378001798561,7.54426751798561,44.9737975179856,48.4123450179856,0.503561689658849,0.98412504681116,23.023392372825,40.4879198140125,"N"
"23","N24",28.539283150109,32.9258764785605,17.7665989141414,24.9616372222223,15.6614266088947,22.4121933765715,38.9367640078846,41.9839722907129,38.38933,44.118805,3.19582001798561,7.44629751798561,44.8506725179856,48.4365800179856,0.51028990480341,0.847062163042032,23.6628540941325,35.8978831370975,"N"
"24","N26",28.5620876418917,32.1227768637286,17.7573592424242,23.283370959596,16.7299055230361,21.7576315331371,38.3984897149553,41.2462032755614,38.5301725,44.0370575,3.59839501798561,7.82855251798561,45.3467475179856,48.7843725179856,0.796356151506491,1.34354573145158,35.83359027981,54.82661425065,"N"
"25","N27",29.9030472629102,33.3434528323054,18.092915,24.320585909091,17.0611825179856,22.337350472531,39.5330625432381,42.3834648664704,37.8107425,43.560115,3.43953501798561,7.78425501798561,44.8346475179856,48.1792375179856,0.75673901537417,1.46306959228316,35.5165861696275,59.9020313169,"N"
"26","N29",29.0888757663047,33.2468902959388,17.4586698989899,23.6589819444444,16.9074624927331,22.6489387048543,38.8280916341472,41.9339386796017,38.2755875,43.81184,3.19495751798561,7.38327501798561,44.6022900179856,48.1661725179856,0.853823109332797,1.55831096723643,37.7578214769375,64.044272263825,"N"
"27","N30",27.736580093346,33.6383672396059,17.64205,26.2823965151515,14.6838883513189,23.0820346391977,38.7595217604099,42.6984816088947,38.9944125,44.6075075,3.22715251798561,7.52266751798561,45.5400425179856,49.0002650179856,0.538889284233043,0.97088477701172,24.908074546615,43.6032598424,"N"
"28","N31",28.0801842797721,32.7551594820001,20.35987,26.8261767676767,14.6483592604099,20.6487957503088,39.5165381492987,42.8415911290967,39.12848,44.6916275,3.47645001798561,7.71965751798561,45.9437350179856,49.2356800179856,0.687099397740599,1.32345767939254,34.4598594391275,61.4403433011,"N"
"29","N32",27.2126209100387,32.2216992154807,18.9615002272728,25.5122573484849,14.6740202452584,21.0929087301068,38.2176022907128,41.9781815331371,39.1358825,44.6640325,3.37596251798561,7.59516501798561,45.7483200179856,49.1265675179856,0.715599129047213,1.21940406930659,33.4170759711425,55.3863054847,"N"
"30","N8",31.4696205550995,36.1933325714787,16.1464402272727,24.5356272222222,18.4380631240462,26.01354686142,40.7497357755614,44.2082036543492,38.77263,44.3008275,3.34333501798561,7.77335501798561,45.5833525179856,48.8107575179856,0.552883149204144,1.33790938969279,24.8023424014375,51.24673201425,"N"
"31","N9",29.39352373585,33.9438661762243,20.7717496212121,27.3668613636364,15.231185901824,21.5912912806119,40.8966695634402,43.8317562806119,39.64742,44.9142375,3.40369251798561,7.60679251798561,46.3372350179856,49.4890750179856,0.513923043890285,0.8268760061246,26.22438160452,39.08655671541,"N"
